homa@homa1:~/platformlab/RAMCloud/logs/20180608125510$ cat coordinator.homa4.log 
1528480511.027278629 CoordinatorMain.cc:96 in main NOTICE[1]: Command line: /home/homa/platformlab/RAMCloud/obj.05302018_dpdk/coordinator -C basic+udp:host=10.10.10.14,port=12246 -l NOTICE --logFile logs/20180608125510/coordinator.homa4.log --dpdkPort 0 --configDir config
1528480511.027309848 CoordinatorMain.cc:97 in main NOTICE[1]: Coordinator process id: 19405
1528480546.777555437 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /mnt/huge_1GB/homa4map_68 is on socket 1
1528480546.777557519 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /mnt/huge_1GB/homa4map_69 is on socket 1
1528480546.777558771 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /mnt/huge_1GB/homa4map_70 is on socket 1
1528480546.777560044 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /mnt/huge_1GB/homa4map_71 is on socket 1
1528480546.777574549 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /mnt/huge_1GB/homa4map_72 is on socket 1
1528480546.777579059 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /mnt/huge_1GB/homa4map_73 is on socket 1
1528480546.777580451 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /mnt/huge_1GB/homa4map_74 is on socket 1
1528480546.777581875 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /mnt/huge_1GB/homa4map_75 is on socket 2
1528480546.777583348 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /mnt/huge_1GB/homa4map_76 is on socket 2
1528480546.777584802 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /mnt/huge_1GB/homa4map_77 is on socket 2
1528480546.777586305 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /mnt/huge_1GB/homa4map_78 is on socket 2
1528480546.777588276 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /mnt/huge_1GB/homa4map_79 is on socket 2
1528480546.777589881 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /mnt/huge_1GB/homa4map_80 is on socket 2
1528480546.777591228 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /mnt/huge_1GB/homa4map_81 is on socket 2
1528480546.777592493 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /mnt/huge_1GB/homa4map_82 is on socket 2
1528480546.777607437 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /mnt/huge_1GB/homa4map_83 is on socket 2
1528480546.777613371 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /mnt/huge_1GB/homa4map_84 is on socket 2
1528480546.777614934 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /mnt/huge_1GB/homa4map_85 is on socket 2
1528480546.777616311 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /mnt/huge_1GB/homa4map_86 is on socket 2
1528480546.777617776 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /mnt/huge_1GB/homa4map_87 is on socket 2
1528480546.777619377 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /mnt/huge_1GB/homa4map_88 is on socket 2
1528480546.777622003 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /mnt/huge_1GB/homa4map_89 is on socket 2
1528480546.777623432 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /mnt/huge_1GB/homa4map_90 is on socket 2
1528480546.777625250 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /mnt/huge_1GB/homa4map_91 is on socket 2
1528480546.777627013 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /mnt/huge_1GB/homa4map_92 is on socket 2
1528480546.777628378 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /mnt/huge_1GB/homa4map_93 is on socket 2
1528480546.777654228 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /mnt/huge_1GB/homa4map_94 is on socket 2
1528480546.777658822 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /mnt/huge_1GB/homa4map_95 is on socket 2
1528480546.777660288 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /mnt/huge_1GB/homa4map_96 is on socket 2
1528480546.777661772 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /mnt/huge_1GB/homa4map_97 is on socket 2
1528480546.777663167 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /mnt/huge_1GB/homa4map_98 is on socket 2
1528480546.777664617 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /mnt/huge_1GB/homa4map_99 is on socket 2
1528480546.777666238 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /mnt/huge_1GB/homa4map_0 is on socket 1
1528480546.778045287 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Ask a virtual area of 0x640000000 bytes
1528480546.778082440 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Virtual area found at 0x7f8980000000 (size = 0x640000000)
1528480546.785750271 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Ask a virtual area of 0x640000000 bytes
1528480546.785759666 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Virtual area found at 0x7f8300000000 (size = 0x640000000)
1528480546.793393170 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Ask a virtual area of 0x640000000 bytes
1528480546.793401266 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Virtual area found at 0x7f7c80000000 (size = 0x640000000)
1528480546.801029052 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Ask a virtual area of 0x640000000 bytes
1528480546.801037039 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Virtual area found at 0x7f7600000000 (size = 0x640000000)
1528480546.808835237 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Trying to obtain current memory policy.
1528480547.173611860 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /dev/hugepages/homa4map_1 is on socket 3
1528480547.173635122 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /dev/hugepages/homa4map_7 is on socket 3
1528480547.173637303 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /dev/hugepages/homa4map_8 is on socket 3
1528480547.173639201 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /dev/hugepages/homa4map_9 is on socket 3
1528480547.173641124 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /dev/hugepages/homa4map_10 is on socket 3
1528480547.173657353 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /dev/hugepages/homa4map_13 is on socket 3
1528480547.173659372 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /dev/hugepages/homa4map_14 is on socket 3
1528480547.173661294 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /dev/hugepages/homa4map_15 is on socket 3
1528480547.173663225 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /dev/hugepages/homa4map_16 is on socket 3
1528480547.173665305 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /dev/hugepages/homa4map_17 is on socket 3
1528480547.173667159 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /dev/hugepages/homa4map_18 is on socket 3
1528480547.173670347 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /dev/hugepages/homa4map_19 is on socket 3
1528480547.173672235 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /dev/hugepages/homa4map_20 is on socket 3
1528480547.173674005 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /dev/hugepages/homa4map_21 is on socket 3
1528480547.173675768 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /dev/hugepages/homa4map_22 is on socket 3
1528480547.173677684 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /dev/hugepages/homa4map_23 is on socket 3
1528480547.173693210 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /dev/hugepages/homa4map_24 is on socket 3
1528480547.173698615 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /dev/hugepages/homa4map_25 is on socket 3
1528480547.173700465 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /dev/hugepages/homa4map_26 is on socket 3
1528480547.173702304 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /dev/hugepages/homa4map_27 is on socket 3
1528480547.173704155 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /dev/hugepages/homa4map_28 is on socket 3
1528480547.173708147 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /dev/hugepages/homa4map_29 is on socket 3
1528480547.173710291 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /dev/hugepages/homa4map_30 is on socket 3
1528480547.173712460 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /dev/hugepages/homa4map_31 is on socket 3
1528480547.173714404 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /dev/hugepages/homa4map_32 is on socket 3
1528480547.173716262 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /dev/hugepages/homa4map_33 is on socket 3
1528480547.173718024 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /dev/hugepages/homa4map_34 is on socket 3
1528480547.173719844 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /dev/hugepages/homa4map_35 is on socket 3
1528480547.173735231 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /dev/hugepages/homa4map_36 is on socket 3
1528480547.173740537 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /dev/hugepages/homa4map_37 is on socket 3
1528480547.173742373 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /dev/hugepages/homa4map_38 is on socket 3
1528480547.173744253 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /dev/hugepages/homa4map_39 is on socket 3
1528480547.173746153 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /dev/hugepages/homa4map_40 is on socket 3
1528480547.173748181 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /dev/hugepages/homa4map_41 is on socket 3
1528480547.173750119 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /dev/hugepages/homa4map_42 is on socket 3
1528480547.173752360 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /dev/hugepages/homa4map_43 is on socket 3
1528480547.173754233 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /dev/hugepages/homa4map_44 is on socket 3
1528480547.173756777 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /dev/hugepages/homa4map_45 is on socket 3
1528480547.173759110 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /dev/hugepages/homa4map_46 is on socket 3
1528480547.173775825 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /dev/hugepages/homa4map_47 is on socket 3
1528480547.173780885 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /dev/hugepages/homa4map_48 is on socket 3
1528480547.173782765 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /dev/hugepages/homa4map_49 is on socket 3
1528480547.173784569 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /dev/hugepages/homa4map_50 is on socket 3
1528480547.173786329 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /dev/hugepages/homa4map_51 is on socket 3
1528480547.173788371 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /dev/hugepages/homa4map_52 is on socket 3
1528480547.173790570 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /dev/hugepages/homa4map_53 is on socket 3
